RunNr,FileName,Group,Condition,moreinfo,Precursors,Peptides,Proteins
1,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_01.htrms,Veh,Veh.1,Veh.1,6038,3901,569
2,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_02.htrms,Veh,Veh.2,Veh.2,5303,3407,502
3,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_03.htrms,Veh,Veh.3,Veh.3,6132,3985,574
4,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_04.htrms,Veh,Veh.4,Veh.4,6173,3969,565
5,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_05.htrms,Veh,Veh.5,Veh.5,6452,4147,584
6,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_06.htrms,Veh,Veh.6,Veh.6,6607,4280,603
7,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_07.htrms,Veh,Veh.7,Veh.7,6684,4319,605
8,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_08.htrms,Veh,Veh.8,Veh.8,6633,4281,591
9,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_09.htrms,GDF15,GDF15.1,GDF15.1,6216,3963,569
10,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_10.htrms,GDF15,GDF15.2,GDF15.2,6338,4011,575
11,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_11.htrms,GDF15,GDF15.3,GDF15.3,6178,3905,548
12,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_12.htrms,GDF15,GDF15.4,GDF15.4,6510,4084,566
13,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_13.htrms,GDF15,GDF15.5,GDF15.5,6132,3939,560
14,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_14.htrms,GDF15,GDF15.6,GDF15.6,6382,4064,578
15,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_15.htrms,GDF15,GDF15.7,GDF15.7,6266,3929,555
16,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_17.htrms,CR,CR.1,pair-fed_am,6107,3890,561
17,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_18.htrms,CR,CR.2,pair-fed_am,5973,3861,570
18,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_19.htrms,CR,CR.3,pair-fed_am,5907,3805,547
19,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_20.htrms,CR,CR.4,pair-fed_am,6157,3951,571
20,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_21.htrms,CR,CR.5,pair-fed_am,6636,4309,597
21,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_22.htrms,CR,CR.6,pair-fed_am,6514,4190,585
22,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_23.htrms,CR,CR.7,pair-fed_am,6565,4187,588
23,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_24.htrms,CR,CR.8,pair-fed_am,6002,3883,571
24,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_25.htrms,CR,CR.9,pair-fed_pm,6243,3944,561
25,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_26.htrms,CR,CR.10,pair-fed_pm,6352,4124,590
26,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_27.htrms,CR,CR.11,pair-fed_pm,6400,4057,565
27,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_28.htrms,CR,CR.12,pair-fed_pm,6450,4096,592
28,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_29.htrms,CR,CR.13,pair-fed_pm,6192,4014,584
29,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_30.htrms,CR,CR.14,pair-fed_pm,6327,4045,560
30,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_31.htrms,CR,CR.15,pair-fed_pm,6215,4027,571
31,20220106_QE5_YABH_RDS3363_PlasmaProt_Mouse_GDF15_DIA_32.htrms,CR,CR.16,pair-fed_pm,6445,4131,586
